x_width,x_frac_width,x_row,x_col,x_row_depth,x_col_depth,latency_min,latency_max,clock_period,bram,dsp,ff,lut,uram,
5,1,5,3,8,8,67,67,1.779,0,0,72,149,0,
6,1,5,3,8,8,67,67,1.706,0,0,87,164,0,
7,1,5,3,8,8,67,67,1.721,0,0,102,179,0,
8,1,5,3,8,8,67,67,1.736,0,0,117,194,0,
1,1,5,4,8,8,66,66,1.428,0,0,10,91,0,
2,1,5,4,8,8,67,67,1.55,0,0,32,169,0,
3,1,5,4,8,8,67,67,1.706,0,0,52,129,0,
4,1,5,4,8,8,67,67,1.706,0,0,72,149,0,
5,1,5,4,8,8,67,67,1.779,0,0,92,169,0,
6,1,5,4,8,8,67,67,1.706,0,0,112,189,0,
7,1,5,4,8,8,67,67,1.721,0,0,132,209,0,
8,1,5,4,8,8,67,67,1.736,0,0,152,229,0,
1,1,5,5,8,8,66,66,1.428,0,0,10,91,0,
2,1,5,5,8,8,67,67,1.55,0,0,37,189,0,
3,1,5,5,8,8,67,67,1.706,0,0,62,139,0,
4,1,5,5,8,8,67,67,1.706,0,0,87,164,0,
5,1,5,5,8,8,67,67,1.779,0,0,112,189,0,
6,1,5,5,8,8,67,67,1.706,0,0,137,214,0,
7,1,5,5,8,8,67,67,1.721,0,0,162,239,0,
8,1,5,5,8,8,67,67,1.736,0,0,187,264,0,
1,1,5,6,8,8,66,66,1.428,0,0,10,91,0,
2,1,5,6,8,8,67,67,1.55,0,0,42,209,0,
3,1,5,6,8,8,67,67,1.706,0,0,72,149,0,
4,1,5,6,8,8,67,67,1.706,0,0,102,179,0,
5,1,5,6,8,8,67,67,1.779,0,0,132,209,0,
6,1,5,6,8,8,67,67,1.706,0,0,162,239,0,
7,1,5,6,8,8,67,67,1.721,0,0,192,269,0,
8,1,5,6,8,8,67,67,1.736,0,0,222,299,0,
1,1,5,7,8,8,66,66,1.428,0,0,10,91,0,
2,1,5,7,8,8,67,67,1.55,0,0,47,229,0,
3,1,5,7,8,8,67,67,1.706,0,0,82,159,0,
4,1,5,7,8,8,67,67,1.706,0,0,117,194,0,
5,1,5,7,8,8,67,67,1.779,0,0,152,229,0,
6,1,5,7,8,8,67,67,1.706,0,0,187,264,0,
7,1,5,7,8,8,67,67,1.721,0,0,222,299,0,
8,1,5,7,8,8,67,67,1.736,0,0,257,334,0,
1,1,5,8,8,8,66,66,1.428,0,0,10,91,0,
2,1,5,8,8,8,67,67,1.55,0,0,52,249,0,
3,1,5,8,8,8,67,67,1.706,0,0,92,169,0,
4,1,5,8,8,8,67,67,1.706,0,0,132,209,0,
5,1,5,8,8,8,67,67,1.779,0,0,172,249,0,
6,1,5,8,8,8,67,67,1.706,0,0,212,289,0,
7,1,5,8,8,8,67,67,1.721,0,0,252,329,0,
8,1,5,8,8,8,67,67,1.736,0,0,292,369,0,
1,1,6,1,8,8,66,66,1.428,0,0,10,91,0,
2,1,6,1,8,8,67,67,1.55,0,0,18,113,0,
3,1,6,1,8,8,67,67,1.706,0,0,24,101,0,
4,1,6,1,8,8,67,67,1.706,0,0,30,107,0,
5,1,6,1,8,8,67,67,1.779,0,0,36,113,0,
6,1,6,1,8,8,67,67,1.706,0,0,42,119,0,
7,1,6,1,8,8,67,67,1.721,0,0,48,125,0,
8,1,6,1,8,8,67,67,1.736,0,0,54,131,0,
1,1,6,2,8,8,66,66,1.428,0,0,10,91,0,
2,1,6,2,8,8,67,67,1.55,0,0,24,137,0,
3,1,6,2,8,8,67,67,1.706,0,0,36,113,0,
4,1,6,2,8,8,67,67,1.706,0,0,48,125,0,
5,1,6,2,8,8,67,67,1.779,0,0,60,137,0,
6,1,6,2,8,8,67,67,1.706,0,0,72,149,0,
7,1,6,2,8,8,67,67,1.721,0,0,84,161,0,
8,1,6,2,8,8,67,67,1.736,0,0,96,173,0,
1,1,6,3,8,8,66,66,1.428,0,0,10,91,0,
2,1,6,3,8,8,67,67,1.55,0,0,30,161,0,
3,1,6,3,8,8,67,67,1.706,0,0,48,125,0,
4,1,6,3,8,8,67,67,1.706,0,0,66,143,0,
5,1,6,3,8,8,67,67,1.779,0,0,84,161,0,
6,1,6,3,8,8,67,67,1.706,0,0,102,179,0,
7,1,6,3,8,8,67,67,1.721,0,0,120,197,0,
8,1,6,3,8,8,67,67,1.736,0,0,138,215,0,
1,1,6,4,8,8,66,66,1.428,0,0,10,91,0,
2,1,6,4,8,8,67,67,1.55,0,0,36,185,0,
3,1,6,4,8,8,67,67,1.706,0,0,60,137,0,
4,1,6,4,8,8,67,67,1.706,0,0,84,161,0,
5,1,6,4,8,8,67,67,1.779,0,0,108,185,0,
6,1,6,4,8,8,67,67,1.706,0,0,132,209,0,
7,1,6,4,8,8,67,67,1.721,0,0,156,233,0,
8,1,6,4,8,8,67,67,1.736,0,0,180,257,0,
1,1,6,5,8,8,66,66,1.428,0,0,10,91,0,
2,1,6,5,8,8,67,67,1.55,0,0,42,209,0,
3,1,6,5,8,8,67,67,1.706,0,0,72,149,0,
4,1,6,5,8,8,67,67,1.706,0,0,102,179,0,
5,1,6,5,8,8,67,67,1.779,0,0,132,209,0,
6,1,6,5,8,8,67,67,1.706,0,0,162,239,0,
7,1,6,5,8,8,67,67,1.721,0,0,192,269,0,
8,1,6,5,8,8,67,67,1.736,0,0,222,299,0,
1,1,6,6,8,8,66,66,1.428,0,0,10,91,0,
2,1,6,6,8,8,67,67,1.55,0,0,48,233,0,
